season_txt,title,object,present,episode_num
01,A Walk In The Woods,apple frame,0,1
01,A Walk In The Woods,aurora borealis,0,1
01,A Walk In The Woods,barn,0,1
01,A Walk In The Woods,beach,0,1
01,A Walk In The Woods,boat,0,1
01,A Walk In The Woods,bridge,0,1
01,A Walk In The Woods,building,0,1
01,A Walk In The Woods,bushes,1,1
01,A Walk In The Woods,cabin,0,1
01,A Walk In The Woods,cactus,0,1
01,A Walk In The Woods,circle frame,0,1
01,A Walk In The Woods,cirrus,0,1
01,A Walk In The Woods,cliff,0,1
01,A Walk In The Woods,clouds,0,1
01,A Walk In The Woods,conifer,0,1
01,A Walk In The Woods,cumulus,0,1
01,A Walk In The Woods,deciduous,1,1
01,A Walk In The Woods,diane andre,0,1
01,A Walk In The Woods,dock,0,1
01,A Walk In The Woods,double oval frame,0,1
01,A Walk In The Woods,farm,0,1
01,A Walk In The Woods,fence,0,1
01,A Walk In The Woods,fire,0,1
01,A Walk In The Woods,florida frame,0,1
01,A Walk In The Woods,flowers,0,1
01,A Walk In The Woods,fog,0,1
01,A Walk In The Woods,framed,0,1
01,A Walk In The Woods,grass,1,1
01,A Walk In The Woods,guest,0,1
01,A Walk In The Woods,half circle frame,0,1
01,A Walk In The Woods,half oval frame,0,1
01,A Walk In The Woods,hills,0,1
01,A Walk In The Woods,lake,0,1
01,A Walk In The Woods,lakes,0,1
01,A Walk In The Woods,lighthouse,0,1
01,A Walk In The Woods,mill,0,1
01,A Walk In The Woods,moon,0,1
01,A Walk In The Woods,mountain,0,1
01,A Walk In The Woods,mountains,0,1
01,A Walk In The Woods,night,0,1
01,A Walk In The Woods,ocean,0,1
01,A Walk In The Woods,oval frame,0,1
01,A Walk In The Woods,palm trees,0,1
01,A Walk In The Woods,path,0,1
01,A Walk In The Woods,person,0,1
01,A Walk In The Woods,portrait,0,1
01,A Walk In The Woods,rectangle 3d frame,0,1
01,A Walk In The Woods,rectangular frame,0,1
01,A Walk In The Woods,river,1,1
01,A Walk In The Woods,rocks,0,1
01,A Walk In The Woods,seashell frame,0,1
01,A Walk In The Woods,snow,0,1
01,A Walk In The Woods,snowy mountain,0,1
01,A Walk In The Woods,split frame,0,1
01,A Walk In The Woods,steve ross,0,1
01,A Walk In The Woods,structure,0,1
01,A Walk In The Woods,sun,0,1
01,A Walk In The Woods,tomb frame,0,1
01,A Walk In The Woods,tree,1,1
01,A Walk In The Woods,trees,1,1
01,A Walk In The Woods,triple frame,0,1
01,A Walk In The Woods,waterfall,0,1
01,A Walk In The Woods,waves,0,1
01,A Walk In The Woods,windmill,0,1
01,A Walk In The Woods,window frame,0,1
01,A Walk In The Woods,winter,0,1
01,A Walk In The Woods,wood framed,0,1
01,Mt. Mckinley,apple frame,0,2
01,Mt. Mckinley,aurora borealis,0,2
01,Mt. Mckinley,barn,0,2
01,Mt. Mckinley,beach,0,2
01,Mt. Mckinley,boat,0,2
01,Mt. Mckinley,bridge,0,2
01,Mt. Mckinley,building,0,2
01,Mt. Mckinley,bushes,0,2
01,Mt. Mckinley,cabin,1,2
01,Mt. Mckinley,cactus,0,2
01,Mt. Mckinley,circle frame,0,2
01,Mt. Mckinley,cirrus,0,2
01,Mt. Mckinley,cliff,0,2
01,Mt. Mckinley,clouds,1,2
01,Mt. Mckinley,conifer,1,2
01,Mt. Mckinley,cumulus,0,2
01,Mt. Mckinley,deciduous,0,2
01,Mt. Mckinley,diane andre,0,2
01,Mt. Mckinley,dock,0,2
01,Mt. Mckinley,double oval frame,0,2
01,Mt. Mckinley,farm,0,2
01,Mt. Mckinley,fence,0,2
01,Mt. Mckinley,fire,0,2
01,Mt. Mckinley,florida frame,0,2
01,Mt. Mckinley,flowers,0,2
01,Mt. Mckinley,fog,0,2
01,Mt. Mckinley,framed,0,2
01,Mt. Mckinley,grass,0,2
01,Mt. Mckinley,guest,0,2
01,Mt. Mckinley,half circle frame,0,2
01,Mt. Mckinley,half oval frame,0,2
01,Mt. Mckinley,hills,0,2
01,Mt. Mckinley,lake,0,2
01,Mt. Mckinley,lakes,0,2
01,Mt. Mckinley,lighthouse,0,2
01,Mt. Mckinley,mill,0,2
