episode,season,episode_num,title,object,present
S01E01,1,1,A Walk In The Woods,bushes,1
S01E01,1,1,A Walk In The Woods,deciduous,1
S01E01,1,1,A Walk In The Woods,grass,1
S01E01,1,1,A Walk In The Woods,river,1
S01E01,1,1,A Walk In The Woods,tree,1
S01E01,1,1,A Walk In The Woods,trees,1
S01E02,1,2,Mt. Mckinley,cabin,1
S01E02,1,2,Mt. Mckinley,clouds,1
S01E02,1,2,Mt. Mckinley,conifer,1
S01E02,1,2,Mt. Mckinley,mountain,1
S01E02,1,2,Mt. Mckinley,snow,1
S01E02,1,2,Mt. Mckinley,snowy mountain,1
S01E02,1,2,Mt. Mckinley,tree,1
S01E02,1,2,Mt. Mckinley,trees,1
S01E02,1,2,Mt. Mckinley,winter,1
S01E03,1,3,Ebony Sunset,cabin,1
S01E03,1,3,Ebony Sunset,conifer,1
S01E03,1,3,Ebony Sunset,fence,1
S01E03,1,3,Ebony Sunset,mountain,1
S01E03,1,3,Ebony Sunset,mountains,1
S01E03,1,3,Ebony Sunset,structure,1
S01E03,1,3,Ebony Sunset,sun,1
S01E03,1,3,Ebony Sunset,tree,1
S01E03,1,3,Ebony Sunset,trees,1
S01E03,1,3,Ebony Sunset,winter,1
